name,task_group,data,model,ode_steps,anneal_steps,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std
pr_ula,pixel,image,ddpm,5,200,24.100070476531982,5.876895831897855,0.6346415370702744,0.1436880183639005,0.29115040153265,0.1304924800642766
pr_hmc,pixel_hmc,image,ddpm,5,200,26.33102951049805,4.397160001471638,0.7048347145318985,0.11692363065667451,0.24984465539455414,0.10937773378100246
pr_k2_smoke,pixel,image,ddpm,2,3,6.426988363265991,0.0,0.004705622559413314,0.0,0.8617965281009674,0.0
pr_k2_demo,pixel,image,ddpm,5,200,19.506115245819093,4.470095153525472,0.3563018888235092,0.08721871179295704,0.4371326774358749,0.09625135678797961
